"HHID","h17q1","h17q2","h17q3","h17q4","h17q5","h17q6","h17q7","h17q8","h17q9","wgt_X"
"H04007-04-01","P04007-001",1,1,1,3,2,12,12,1,2551.70141601563
"H04009-04-01","P04009-001",1,1,1,2,1,12,12,2,2551.70141601563
"H04010-04-01","P04010-001",1,1,1,2,2,12,5,1,1275.85070800781
"H04010-04-02","P04010-004",1,3,1,2,2,12,12,2,1275.85070800781
"H04011-04-01","P04011-001",1,1,1,2,2,12,4,2,1275.85070800781
"H04011-04-02","P04011-009",1,1,1,2,2,96,12,2,1275.85070800781
"H04201-04-01","P04201-001",1,1,1,3,2,2,2,2,2551.70141601563
"H04202-04-01","P04202-001",1,1,1,3,5,12,1,2,2551.70141601563
"H04203-04-01","P04203-002",1,1,2,3,2,4,4,2,2551.70141601563
"H04204-04-01","P04204-001",1,1,2,2,2,1,1,2,2551.70141601563
"H04205-04-01","P04205-002",1,2,1,3,5,4,12,2,2551.70141601563
"H04206-04-01","P04206-001",1,1,1,2,2,12,12,2,2551.70141601563
"H04207-04-01","P04207-002",1,1,1,3,2,2,1,2,2551.70141601563
"H04208-04-01","P04208-012",1,2,1,2,5,12,12,2,1275.85070800781
"H04208-04-02","P04208-002",1,1,1,3,5,7,8,2,1275.85070800781
"H04209-04-01","P04209-001",1,2,2,2,2,4,3,2,2551.70141601563
"H04210-04-01","P04210-001",1,1,1,3,2,4,12,2,2551.70141601563
"H04501-04-01","P04501-001",1,2,1,3,1,12,1,1,2792.466796875
"H04505-04-01","P04505-001",1,1,1,3,2,8,12,2,2792.466796875
"H04508-04-02","P04508-011",1,1,1,2,2,2,1,2,698.11669921875
"H04508-04-03","P04508-014",1,2,1,2,2,12,1,2,698.11669921875
"H04508-04-04","P04508-022",1,2,1,2,1,7,12,2,698.11669921875
"H04509-04-01","P04509-002",1,1,1,3,5,2,2,1,2792.466796875
"H04602-04-01","P04602-001",1,2,2,2,1,12,4,1,2792.466796875
"H04603-04-01","P04603-001",1,1,1,2,2,11,2,1,2792.466796875
"H04604-04-01","P04604-001",1,3,1,3,2,12,12,1,2792.466796875
"H04606-04-01","P04606-010",1,2,2,2,1,6,6,1,1396.2333984375
"H04606-04-02","P04606-019",1,1,1,3,5,2,6,2,1396.2333984375
"H04607-04-01","P04607-002",1,1,1,2,1,12,12,1,2792.466796875
"H04608-04-01","P04608-001",1,2,1,3,2,1,1,2,2792.466796875
"H04609-04-01","P04609-003",1,1,1,2,2,12,4,1,2792.466796875
"H04610-04-01","P04610-001",1,2,2,1,1,9,9,1,930.822265625
"H04610-04-02","P04610-005",1,1,1,2,2,12,12,1,930.822265625
"H04610-04-03","P04610-003",1,1,1,2,2,12,12,2,930.822265625
"H04801-04-01","P04801-001",1,2,1,3,1,1,1,2,2792.466796875
"H04802-04-01","P04802-002",1,2,1,2,2,96,12,2,930.822265625
"H04802-04-02","P04802-004",1,1,1,1,2,12,1,2,930.822265625
"H04802-04-03","P04802-010",1,1,1,2,2,4,12,2,930.822265625
"H04803-04-02","P04803-003",1,3,1,2,2,12,12,2,2792.466796875
"H04804-04-01","P04804-002",1,1,1,3,5,12,12,2,2792.466796875
"H04805-04-01","P04805-001",1,3,1,3,2,12,12,2,2792.466796875
"H04806-04-01","P04806-002",1,1,1,3,2,1,1,2,2792.466796875
"H04807-04-01","P04807-001",1,3,1,2,5,12,12,2,2792.466796875
"H04808-04-01","P04808-001",1,2,1,3,5,12,12,2,1396.2333984375
"H04808-04-02","P04808-003",1,2,1,3,2,12,12,2,1396.2333984375
"H04810-04-01","P04810-001",1,1,1,2,1,4,4,1,2792.466796875
"H04903-04-01","P04903-001",1,2,2,2,2,4,4,2,2792.466796875
"H04905-04-01","P04905-001",1,1,2,2,2,12,3,1,2792.466796875
"H04907-04-01","P04907-001",1,2,2,2,2,4,4,1,2792.466796875
"H04908-04-01","P04908-002",1,2,2,3,2,4,4,2,2792.466796875
"H04909-04-01","P04909-001",1,2,1,3,2,3,4,2,2792.466796875
"H04910-04-01","P04910-002",1,1,1,2,2,12,4,2,2792.466796875
"H04912-04-01","P04912-001",1,2,1,2,2,12,11,2,2792.466796875
"H04913-04-01","P04913-001",1,2,2,2,2,4,12,1,465.4111328125
"H04913-04-02","P04913-023",1,2,2,3,2,1,12,1,465.4111328125
"H04913-04-03","P04913-007",1,2,2,3,2,2,12,2,465.4111328125
