"District_Name","SubCounty","Parish","Villagecode","Infrastructure_ID","C5BQ10","C5BQ11","C5BQ12","C5BQ13","C5BQ14","C5BQ15","C5BQ16","C5BQ17","Survey_Visit","Infrastructure_Response","Reason_Road_Inf_Not_Done"
112,112204,11220403,1122040303,4,96,35,1,1,2,2,,2,2,1,
112,112204,11220403,1122040303,5,96,1,1,1,96,1,82,,2,1,
113,113105,11310504,1131050402,1,,,,,,,,,2,1,
113,113105,11310504,1131050402,2,,,,,,,,,2,1,
113,113105,11310504,1131050402,3,,,,,,,,,2,1,
113,113105,11310504,1131050402,4,,,,,,,,,2,1,
113,113105,11310504,1131050402,5,,,,,,,,,2,1,
113,113105,11310505,1131050505,1,3,,,,,,,,2,1,
113,113105,11310505,1131050505,2,3,,,,,,,,2,1,
113,113105,11310505,1131050505,3,2,8,1,1,4,2,,2,2,1,
113,113105,11310505,1131050505,4,1,28.5,1,1,4,2,,2,2,1,
113,113105,11310505,1131050505,5,1,2,1,1,4,2,,1,2,1,
113,113111,11311102,1131110205,1,3,,,,,,,,2,1,
113,113111,11311102,1131110205,2,3,,,,,,,,2,1,
113,113111,11311102,1131110205,3,2,51.9000015258789,1,2,1,2,,2,2,1,
113,113111,11311102,1131110205,4,1,30,2,2,96,1,3,,2,1,
113,113111,11311102,1131110205,5,1,20,1,1,1,1,14,,2,1,
113,113112,11311203,1131120307,1,,,,,,,,,2,3,"person responsible was absent at time of visit"
113,113112,11311203,1131120307,2,,,,,,,,,2,3,"person responsible was absent at time of visit"
113,113112,11311203,1131120307,3,,,,,,,,,2,3,"person responsible was absent at time of visit"
113,113112,11311203,1131120307,4,,,,,,,,,2,3,"person responsible was absent at time of visit"
113,113112,11311203,1131120307,5,,,,,,,,,2,3,"person responsible was absent at time of visit"
113,113113,11311302,1131130204,1,3,,,,,,,,2,3,"Hospital Level"
113,113113,11311302,1131130204,2,3,,,,,,,,2,3,"Hospital Level"
113,113113,11311302,1131130204,3,2,28.5,2,1,1,2,,2,2,3,"Hospital Level"
113,113113,11311302,1131130204,4,1,30,2,2,96,1,5.59999990463257,,2,3,"Hospital Level"
113,113113,11311302,1131130204,5,1,20,1,2,96,1,4,,2,3,"Hospital Level"
113,113113,11311306,1131130602,1,3,,,,,,,,2,1,
113,113113,11311306,1131130602,2,3,,,,,,,,2,1,
113,113113,11311306,1131130602,3,2,18,2,2,1,2,,2,2,1,
113,113113,11311306,1131130602,4,1,33,2,1,96,1,5.59999990463257,,2,1,
113,113113,11311306,1131130602,5,1,50,2,1,3,1,7,,2,1,
113,113303,11330301,1133030101,1,,,,,,,,,2,1,
113,113303,11330301,1133030101,2,,,,,,,,,2,1,
113,113303,11330301,1133030101,3,,,,,,,,,2,1,
113,113303,11330301,1133030101,4,,,,,,,,,2,1,
113,113303,11330301,1133030101,5,,,,,,,,,2,1,
113,113303,11330301,1133030109,1,,,,,,,,,2,1,
113,113303,11330301,1133030109,2,,,,,,,,,2,1,
113,113303,11330301,1133030109,3,,,,,,,,,2,1,
113,113303,11330301,1133030109,4,,,,,,,,,2,1,
113,113303,11330301,1133030109,5,,,,,,,,,2,1,
113,113303,11330305,1133030504,1,,,,,,,,,2,3,"Needed Appointement"
113,113303,11330305,1133030504,2,,,,,,,,,2,3,"Needed Appointement"
113,113303,11330305,1133030504,3,,,,,,,,,2,3,"Needed Appointement"
113,113303,11330305,1133030504,4,,,,,,,,,2,3,"Needed Appointement"
113,113303,11330305,1133030504,5,,,,,,,,,2,3,"Needed Appointement"
