"HHID","parcelID","a2bq1owned","Parcel_Resp","a2bq4","a2bq5","a2bq5_2_1","a2bq5_2","a2bq6","a2bq7","a2bq8","a2bq9","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a1","a2bq12b1","a2bq13","a2bq14","a2bq15","a2bq16","a2bq17","a2bq18","a2bq19","a2bq20a","a2bq20b","a2bq21a","a2bq21b","A2BQ12B_plots","A2BQ12A_plots","hh","wgt_X"
84100401,3,2,8410001,,0.5,1,2,5,3,1,60000,1,2,1,1,,,,3,1,2,2,2,,,,8410001,99999999,1,1,"H08410-04-01",2792.466796875
85030403,1,2,8503003,0.170000001788139,0.5,,1,1,1,2,,8,2,1,1,,,,2,1,2,1,1,1,6,8,8503003,99999999,2,2,"H08503-04-03",930.822265625
85050401,2,2,8505002,,0.699999988079071,1,2,4,1,1,25000,1,1,1,1,,,,2,1,2,1,2,,,,8505001,8505002,1,1,"H08505-04-01",2792.466796875
85050401,3,2,8505002,,1,1,2,4,1,1,0,0,2,5,1,3,,,1,1,2,3,2,,,,8505002,99999999,3,,"H08505-04-01",2792.466796875
85090401,2,2,8509001,,0.25,1,2,3,1,2,,1,1,1,1,,,,2,2,2,3,2,,,,8509001,8509002,1,1,"H08509-04-01",2792.466796875
86020401,2,2,8602001,,0.25,1,2,4,6,2,,3,2,1,5,,1,,2,2,2,3,2,,,,8602001,,,1,"H08602-04-01",930.822265625
86020401,3,2,8602001,,0.25,1,2,2,6,2,,1,1,1,1,,,,2,2,2,3,2,,,,8602001,,1,1,"H08602-04-01",930.822265625
86030401,3,2,8603001,2.19000005722046,2,,1,2,1,2,,10,1,1,1,,,,1,1,2,3,2,,,,8603001,,2,1,"H08603-04-01",1396.23327636719
86050401,2,2,8605001,,1,4,2,3,3,2,,30,2,1,1,,,,1,2,2,2,2,,,,8605001,99999999,3,3,"H08605-04-01",2792.46655273438
88010401,2,2,8801002,,1.5,4,2,2,3,1,100000,5,1,1,1,,,,3,2,2,2,2,,,,8801002,99999999,1,1,"H08801-04-01",2792.466796875
88020401,2,2,8802001,,0.5,1,2,3,1,2,,1,2,1,1,,,,3,1,2,2,2,,,,8802001,8802004,1,1,"H08802-04-01",1396.2333984375
88030401,2,2,8803002,,0.5,3,2,1,6,2,,3,1,1,1,,,,1,2,2,3,2,,,,8803001,8803002,1,1,"H08803-04-01",2792.466796875
88060401,2,2,8806001,,1,1,2,4,1,1,100000,2,1,1,1,,,,3,1,2,3,1,1,6,6,8806001,8806002,1,1,"H08806-04-01",2792.466796875
