"HHID","a6bq1","hh","wgt_X"
141090401,2,"H14109-04-01",978.488586425781
141100401,1,"H14110-04-01",2935.46557617188
141110401,2,"H14111-04-01",2935.46557617188
142010401,2,"H14201-04-01",2935.46557617188
142020401,2,"H14202-04-01",2935.46557617188
142030401,1,"H14203-04-01",2935.46557617188
142060401,1,"H14206-04-01",2935.46557617188
142070401,1,"H14207-04-01",978.488586425781
142070402,1,"H14207-04-02",978.488586425781
142070403,1,"H14207-04-03",978.488586425781
142080401,1,"H14208-04-01",2935.46557617188
142090401,1,"H14209-04-01",2935.46557617188
142100401,2,"H14210-04-01",2935.46557617188
143010401,1,"H14301-04-01",1467.73278808594
143010402,2,"H14301-04-02",1467.73278808594
143020401,1,"H14302-04-01",733.866394042969
143020402,1,"H14302-04-02",733.866394042969
143020403,2,"H14302-04-03",733.866394042969
143020404,2,"H14302-04-04",733.866394042969
143030401,1,"H14303-04-01",2935.46557617188
143040401,1,"H14304-04-01",733.866394042969
143040402,1,"H14304-04-02",733.866394042969
143040403,2,"H14304-04-03",733.866394042969
143040404,1,"H14304-04-04",733.866394042969
143050401,1,"H14305-04-01",2935.46557617188
143060401,1,"H14306-04-01",1467.73278808594
143060402,2,"H14306-04-02",1467.73278808594
143070401,1,"H14307-04-01",2935.46557617188
143080401,1,"H14308-04-01",1467.73278808594
143080402,1,"H14308-04-02",1467.73278808594
143090401,1,"H14309-04-01",587.093139648438
143090402,1,"H14309-04-02",587.093139648438
143090403,2,"H14309-04-03",587.093139648438
143090404,1,"H14309-04-04",587.093139648438
143090405,2,"H14309-04-05",587.093139648438
143100401,1,"H14310-04-01",2935.46557617188
144010401,2,"H14401-04-01",2935.46557617188
144020401,1,"H14402-04-01",1467.73278808594
144020402,1,"H14402-04-02",1467.73278808594
144030401,2,"H14403-04-01",2935.46557617188
144040401,1,"H14404-04-01",978.488586425781
144040402,1,"H14404-04-02",978.488586425781
144040403,2,"H14404-04-03",978.488586425781
144050401,1,"H14405-04-01",2935.46557617188
144060401,1,"H14406-04-01",2935.46557617188
144070401,2,"H14407-04-01",1467.73278808594
144070402,2,"H14407-04-02",1467.73278808594
144080401,2,"H14408-04-01",2935.46557617188
144090401,1,"H14409-04-01",2935.46557617188
