"HHID","APCode","a6cq2","a6cq3a","a6cq3b","a6cq3c","a6cq3d","a6cq3e","a6cq4a","a6cq4b","a6cq4c","a6cq5a","a6cq5b","a6cq5c","a6cq6","a6cq7","a6cq8","a6cq9","a6cq10","a6cq11","a6cq12","a6cq13a","a6cq13b","a6cq14a","a6cq14b","a6cq15","a6cq15b","a6cq15c","a6cq16","hh","wgt_X"
42010401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04201-04-01",2551.70141601563
42010401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04201-04-01",2551.70141601563
42030401,23,1,6,4203002,,4203002,4203003,0,,,0,,,3,8,0,0,0,0,2,0,,0,,3,1,3,1,"H04203-04-01",2551.70141601563
42030401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04203-04-01",2551.70141601563
42030401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04203-04-01",2551.70141601563
42030401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04203-04-01",2551.70141601563
42030401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04203-04-01",2551.70141601563
42040401,23,1,13,4204001,4204002,4204001,4204002,0,,,0,,,8,20,0,0,0,0,15,0,,0,,0,1,3,1,"H04204-04-01",2551.70141601563
42040401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04204-04-01",2551.70141601563
42040401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04204-04-01",2551.70141601563
42040401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04204-04-01",2551.70141601563
42040401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04204-04-01",2551.70141601563
42060401,23,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04206-04-01",2551.70141601563
42060401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04206-04-01",2551.70141601563
42060401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04206-04-01",2551.70141601563
42060401,26,1,3,4206001,,4206001,,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,3,1,1,"H04206-04-01",2551.70141601563
42060401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04206-04-01",2551.70141601563
42080402,23,1,6,4208002,4208003,4208002,4208003,0,,,0,,,7,9,0,0,0,10,0,0,,0,,0,1,3,1,"H04208-04-02",1275.85070800781
42080402,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42080402,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04208-04-02",1275.85070800781
42090401,23,1,7,4209001,4209005,4209005,4209010,0,,,0,,,4,6,0,0,0,0,3,0,,0,,0,1,3,1,"H04209-04-01",2551.70141601563
42090401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04209-04-01",2551.70141601563
42090401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04209-04-01",2551.70141601563
42090401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04209-04-01",2551.70141601563
42090401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04209-04-01",2551.70141601563
45090401,23,1,15,4509003,4509004,4509004,,0,,,0,,,18,10,0,0,0,0,11,0,,1,15000,1,1,2,1,"H04509-04-01",2792.466796875
45090401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04509-04-01",2792.466796875
45090401,26,1,5,4509003,4509004,4509004,,0,,,0,,,8,3,0,0,0,6,0,0,,0,,0,1,3,1,"H04509-04-01",2792.466796875
45090401,27,1,17,4509004,4509003,4509004,4509003,0,,,0,,,20,13,0,0,0,0,16,0,,0,,0,1,5,1,"H04509-04-01",2792.466796875
46030401,23,1,2,4603014,,4603014,4603002,0,,,0,,,20,0,0,0,0,0,20,2,12000,0,,0,1,3,1,"H04603-04-01",2792.466796875
46030401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46030401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04603-04-01",2792.466796875
46040401,23,1,2,4604001,4604002,4604001,4604002,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,1,1,"H04604-04-01",2792.466796875
