"HHID","h12q1","h12q2","h12q3a","h12q3b","h12q4","h12qNew","h12q4a","h12q4b","h12q4c","h12q4d","h12q4e","h12q6a","h12q6b","h12q7","h12q8","h12q8a","h12q8b","h12q9","h12q10","h12q11a","h12q11b","h12q11c","h12q11d","h12q11e","h12q12","h12q12a","h12q13","h12q14","h12q15","h12q16","h12q17","h12q18","h12q19","_merge"
"H03810-04-01",1,"P03810-010",1,"selling fire wood",4799,1,1,,,"P03810-010","P03810-001",99,2012,2,2,"P03810-001",,2,,"P03810-001","P03810-010",,,,12,,200000,0,0,70000,20000,2,2,3
"H03811-04-01",1,"P03811-001",1,"retail sale of second handclothes and shoes",4774,1,1,,,"P03811-001","P03811-005",2,2013,7,2,"P03811-001","P03811-005",2,,"P03811-001","P03811-005","P03811-002",,,4,1,600000,0,0,450000,15000,2,2,3
"H03813-04-01",1,"P03813-001",1,"own boda riding",4922,1,1,,,"P03813-001",,1,2000,4,2,"P03813-001",,2,,"P03813-001",,,,,12,,1800000,0,0,20000,60000,2,2,3
"H03901-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03902-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03903-04-01",1,"P03903-003",2,"Frying and Selling of mandaazi",4789,1,1,,,"P03903-003",,99,2011,7,4,"P03903-003",,2,,"P03903-003",,,,,12,,230000,0,0,100000,20000,2,2,3
"H03903-04-01",1,"P03903-003",1,"Operating a Ladies Salon",9602,1,1,,,"P03903-003",,7,2013,7,4,"P03903-003",,2,,"P03903-003",,,,,3,1,450000,1,60000,54000,100000,2,2,3
"H03906-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03907-04-01",1,"P03907-001",2,"Retail sale of merchandise",4799,1,1,,,"P03907-002",,9,2012,4,2,"P03907-002",,2,,"P03907-002","P03907-004",,,,12,,230000,0,0,150000,10000,2,2,3
"H03907-04-01",1,"P03907-001",3,"Retail sale of merchandise",4799,1,1,,,"P03907-001",,99,2011,7,2,"P03907-001",,2,,"P03907-001",,,,,12,,500000,0,0,250000,50000,2,2,3
"H03907-04-01",1,"P03907-001",1,"Drug shop - retailing",8690,1,1,,,"P03907-002",,99,2011,1,2,"P03907-002","P03907-001",1,7,"P03907-002",,,,,12,,220000,0,0,150000,12000,2,2,3
"H03908-04-01",1,"P03908-002",1,"Transportation of people on a motorcycle",4921,1,1,,,"P03908-001",,99,2003,6,4,"P03908-001",,1,2,"P03908-001",,,,,12,,450000,0,0,0,198000,2,2,3
"H03909-04-01",1,"P03909-001",1,"Retail shop selling general merchandise",4773,1,1,,,"P03909-001",,99,2005,4,2,"P03909-001",,2,,"P03909-001",,,,,12,,200000,0,0,100000,20000,2,2,3
"H03909-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03910-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
