"District_Name","SubCounty","Parish","Villagecode","Communal_Resource_ID","C6EQ1","Other_C6EQ1","C6EQ2","C6EQ3","C6EQ4","C6EQ5","C6EQ6","C6EQ7A","C6EQ7B","C6EQ7C","C6EQ8A","C6EQ8B","C6EQ8C","C6EQ9A","C6EQ9B","C6EQ9C","C6EQ10","C6EQ11","C6EQ12","C6EQ13","C6EQ14","End_comm_resource","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
108,108305,10830502,1083050204,101,1,,1,1,2,2,2,,,,96,96,96,1,8,8,2,1,3,2,,,2,1,
108,108305,10830502,1083050204,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108305,10830502,1083050204,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
108,108305,10830502,1083050204,104,1,,1,1,2,2,2,,,,96,96,96,1,8,8,2,2,,2,,,2,1,
108,108305,10830502,1083050204,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110105,11010501,1101050107,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110105,11010501,1101050107,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110105,11010501,1101050107,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110105,11010501,1101050107,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110105,11010501,1101050107,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110203,11020306,1102030601,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110203,11020306,1102030601,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110203,11020306,1102030601,103,1,,1,1,2,1,2,,,,4,,,96,8,8,1,2,,2,,,2,1,
110,110203,11020306,1102030601,104,1,,1,1,2,1,2,,,,96,96,96,1,1,96,3,2,,2,,,2,1,
110,110203,11020306,1102030601,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110204,11020401,1102040107,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110204,11020401,1102040107,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110204,11020401,1102040107,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110204,11020401,1102040107,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110204,11020401,1102040107,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
110,110206,11020603,1102060309,101,2,,,,,,,,,,,,,,,,,,,,,,1,,
110,110206,11020603,1102060309,102,2,,,,,,,,,,,,,,,,,,,,,,1,,
110,110206,11020603,1102060309,103,2,,,,,,,,,,,,,,,,,,,,,,1,,
110,110206,11020603,1102060309,104,1,,1,2,2,1,2,,,,4,,,1,96,96,3,2,,2,,,1,,
110,110206,11020603,1102060309,105,2,,,,,,,,,,,,,,,,,,,,,,1,,
110,110207,11020704,1102070403,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
