"HHID","PID","h2q1","h3q2a","h3q2b","h3q3","h3q4","h3q5a","h3q5b","h3q6","h3q7","h3q9","h3q10","h3q11","h3q12","h3q13R","h3q13D","h3q14R","h3q14D","h3q15","h3q16R","h3q16D","h3q18","h3q19","wgt_X"
"H00809-04-01","P00809-003",3,3,,,,3,,,,17,1,1,2,1,105,1,102,9,1,105,8,0,1874.79821777344
"H00809-04-01","P00809-004",4,1,"P00809-001",,,1,"P00809-002",,,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-005",5,1,"P00809-001",,,1,"P00809-002",,,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-006",6,1,"P00809-001",,,1,"P00809-002",,,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-007",7,1,"P00809-001",,,1,"P00809-002",,,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-008",8,1,"P00809-001",,,1,"P00809-002",,,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-009",9,1,"P00809-001",,,1,"P00809-002",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-010",10,2,,6,1,1,"P00809-003",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-011",11,1,"P00809-001",,,1,"P00809-002",,,17,1,9,2,1,102,,,100,,,,,1874.79821777344
"H00809-04-01","P00809-012",12,2,,8,1,2,,2,99,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00810-04-02","P00810-001",1,3,,,,3,,,,17,2,1,2,1,102,,,100,,,,,937.399108886719
"H00810-04-02","P00810-002",2,1,"P00810-016",,,1,"P00810-001",,,17,2,1,2,1,102,,,100,,,,,937.399108886719
"H00810-04-02","P00810-004",3,1,"P00810-016",,,1,"P00810-001",,,17,2,1,1,1,102,,,100,,,,,937.399108886719
"H00810-04-02","P00810-006",5,1,"P00810-016",,,1,"P00810-001",,,17,2,1,2,1,102,,,100,,,,,937.399108886719
