"HHID","ALiveStock_Small_ID","a6bq2","a6bq3a","a6bq3b","a6bq3c","a6bq3d","a6bq3e","a6bq4a","a6bq4b","a6bq4c","a6bq5a","a6bq5b","a6bq5c","a6bq6","a6bq7","a6bq8","a6bq9","a6bq10","a6bq11","a6bq12","a6bq13a","a6bq13b","a6bq14a","a6bq14b","a6bq15","a6bq15b","a6bq15c","a6bq16","hh","wgt_X"
40020401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,18,1,5,4002001,4002002,4002002,4002001,0,,,0,,,5,2,0,0,0,2,0,0,,0,,0,1,3,1,"H04002-04-01",2551.70141601563
40020401,19,1,2,4002002,4002001,4002001,4002002,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1,"H04002-04-01",2551.70141601563
40020401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,22,1,3,4002001,4002006,4002001,4002002,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,5,1,"H04002-04-01",2551.70141601563
40030401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,19,1,3,4003002,4003001,4003002,4003007,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,5,1,"H04003-04-01",850.567138671875
40030401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40030401,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04003-04-01",850.567138671875
40040401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40040401,18,1,2,4004001,4004002,4004001,4004003,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,5,1,"H04004-04-01",2551.70141601563
40040401,19,1,6,4004001,4004003,4004002,4004003,0,,,0,,,5,1,0,0,0,0,0,0,,0,,0,1,5,1,"H04004-04-01",2551.70141601563
40040401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H04004-04-01",2551.70141601563
