"HHID","h15eq2","h15eq2_1","h15eq3","wgt_X"
"H06608-04-01",806,1,150000,2551.70141601563
"H06608-04-01",807,1,100000,2551.70141601563
"H06609-04-01",806,1,10000,2551.70141601563
"H06609-04-01",807,1,50000,2551.70141601563
"H06609-04-01",809,1,48000,2551.70141601563
"H06701-04-01",803,1,5000,2551.701171875
"H06701-04-01",807,1,20000,2551.701171875
"H06702-04-01",803,1,80000,2551.701171875
"H06702-04-01",806,1,200000,2551.701171875
"H06702-04-01",807,1,70000,2551.701171875
"H06703-04-01",809,1,153600,2551.701171875
"H06704-04-01",807,1,38000,2551.701171875
"H06707-04-01",806,1,100000,1275.8505859375
"H06707-04-02",806,1,20000,1275.8505859375
"H06708-04-01",803,1,120000,2551.701171875
"H06801-04-01",806,1,240000,2551.701171875
"H06801-04-01",807,1,30000,2551.701171875
"H06802-04-01",809,1,190000,2551.701171875
"H06805-04-01",806,1,5505000,2551.701171875
"H06805-04-01",807,1,45000,2551.701171875
"H06805-04-01",808,1,500000,2551.701171875
"H06810-04-02",806,1,300000,1275.8505859375
"H06810-04-02",807,1,50000,1275.8505859375
"H06911-04-03",806,1,50000,1275.85070800781
"H06911-04-03",807,1,25000,1275.85070800781
"H07003-04-01",806,1,50000,2551.70141601563
"H07003-04-01",807,1,40000,2551.70141601563
"H07007-04-01",806,1,100000,1275.85070800781
"H07007-04-01",807,1,600000,1275.85070800781
"H07007-04-02",806,1,300000,1275.85070800781
"H07008-04-01",806,1,50000,2551.70141601563
"H07008-04-01",807,1,30000,2551.70141601563
"H07009-04-01",807,1,50000,2551.70141601563
"H07010-04-01",807,1,50000,2551.70141601563
"H07010-04-01",808,1,252000,2551.70141601563
"H07201-04-01",806,1,400000,2551.70141601563
"H07201-04-01",807,1,40000,2551.70141601563
"H07202-04-01",806,1,5000,1275.85070800781
"H07202-04-02",802,1,40000,1275.85070800781
"H07202-04-02",806,1,100000,1275.85070800781
"H07202-04-02",807,1,10000,1275.85070800781
"H07203-04-01",806,1,50000,2551.70141601563
"H07203-04-01",807,1,45000,2551.70141601563
"H07205-04-01",807,1,2500,2551.70141601563
"H07206-04-01",807,1,50000,2551.70141601563
"H07207-04-01",807,1,40000,1275.85070800781
"H07209-04-01",807,1,18000,2551.70141601563
"H07210-04-01",806,1,30000,2551.70141601563
"H07210-04-01",807,1,20000,2551.70141601563
"H07305-04-01",807,1,5000,2551.701171875
"H07306-04-01",807,1,15000,2551.701171875
"H07309-04-01",806,1,200000,2551.701171875
"H07309-04-01",807,1,40000,2551.701171875
"H07403-04-01",806,1,600000,2551.70141601563
"H07404-04-01",806,1,50000,2551.70141601563
"H07404-04-01",807,1,90000,2551.70141601563
"H07408-04-01",806,1,3000000,850.567138671875
"H07408-04-01",808,1,30000,850.567138671875
"H07412-04-01",806,1,60000,2551.70141601563
"H07412-04-01",807,1,25000,2551.70141601563
"H07501-04-01",807,1,30000,2551.70141601563
"H07501-04-01",809,1,48000,2551.70141601563
"H07502-04-01",807,1,10000,425.283569335938
"H07502-04-02",806,1,300000,425.283569335938
"H07502-04-03",806,1,300000,425.283569335938
"H07502-04-03",807,1,200000,425.283569335938
"H07502-04-04",806,1,300000,425.283569335938
"H07502-04-04",807,1,35000,425.283569335938
"H07502-04-06",806,1,200000,425.283569335938
"H07502-04-06",807,1,20000,425.283569335938
"H07502-04-07",806,1,300000,425.283569335938
"H07502-04-07",807,1,300000,425.283569335938
"H07504-04-01",806,1,360000,2551.70141601563
"H07504-04-01",807,1,30000,2551.70141601563
"H07506-04-01",806,1,20000,2551.70141601563
"H07506-04-01",807,1,30000,2551.70141601563
"H07508-04-01",807,1,40000,2551.70141601563
"H07510-04-01",806,1,40000,2551.70141601563
"H07510-04-01",807,1,5000,2551.70141601563
"H08101-04-01",805,1,180000,2792.466796875
"H08101-04-01",806,1,400000,2792.466796875
"H08101-04-01",807,1,200000,2792.466796875
"H08102-04-01",806,1,30000,465.4111328125
"H08102-04-02",803,1,50000,465.4111328125
"H08102-04-02",806,1,300000,465.4111328125
"H08102-04-02",807,1,150000,465.4111328125
"H08102-04-03",806,1,80000,465.4111328125
