"District_Name","SubCounty","Parish","Villagecode","medical_staff_ID","C4PQ118","C4PQ119","C4PQ120","C4PQ121","C4PQ122_1","C4PQ122_2","C4PQ123","C4PQ117_V2","C4PQ118_V2","C4PQ119_V2","C4PQ120_V2","C4PQ121_V2","C4PQ122_1_V2","C4PQ122_2_V2","C4PQ123_V2","Health_Response","Reason_Health_Not_Done"
102,102104,10210410,1021041002,31,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,32,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,33,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,34,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,35,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,36,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,37,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,38,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,39,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,40,1,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,41,1,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,42,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,43,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,44,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,45,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,46,1,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,47,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,48,2,8,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,49,2,8,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,50,2,8,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,51,2,8,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,52,2,8,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,53,2,8,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,54,2,8,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,55,2,1,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,56,2,3,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,57,2,96,1,,,,1,,,,,,,,,2,
102,102104,10210410,1021041002,58,2,6,1,,,,1,,,,,,,,,2,
102,102104,10210411,1021041118,,,,,,,,,,,,,,,,,,
102,102104,10210417,1021041701,,,,,,,,,,,,,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,,,,,,,,,,,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,,,,,,,,,,,,,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,,,,,,,,,,,,,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,,,,,,,,,,,,,,,,,3,
102,102105,10210510,1021051004,1,2,2,1,,,,1,,,,,,,,,1,
102,102105,10210513,1021051305,,,,,,,,,,,,,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210515,1021051506,,,,,,,,,,,,,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
