"District_Name","SubCounty","Parish","Villagecode","Community_groups_ID","C6BQ1","C6BQ1_Other","C6BQ2","C6BQ3","C6BQ4","C6BQ5","End_commgroup","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102105,10210504,1021050405,303,2,,,,,,,2,3,
102,102105,10210504,1021050405,304,2,,,,,,,2,3,
102,102105,10210504,1021050405,304,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,305,2,,,,,,,2,3,
102,102105,10210504,1021050405,305,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,306,2,,,,,,,2,3,
102,102105,10210504,1021050405,306,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,307,2,,,,,,,2,3,
102,102105,10210504,1021050405,307,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,308,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,308,2,,,,,,,2,3,
102,102105,10210504,1021050405,309,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,309,2,,,,,,,2,3,
102,102105,10210504,1021050405,310,2,,,,,,,2,3,
102,102105,10210504,1021050405,310,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,311,2,,,,,,,2,3,
102,102105,10210504,1021050405,311,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,312,2,,,,,,,2,3,
102,102105,10210504,1021050405,312,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,313,2,,,,,,,2,3,
102,102105,10210504,1021050405,313,2,,,,,,,2,3,"they uses mulago hospital - very near"
102,102105,10210510,1021051004,301,2,,,,,,,2,,
102,102105,10210510,1021051004,302,2,,,,,,,2,,
102,102105,10210510,1021051004,303,2,,,,,,,2,,
102,102105,10210510,1021051004,304,1,,1,"2006",1,145,,2,,
102,102105,10210510,1021051004,305,2,,,,,,,2,,
102,102105,10210510,1021051004,306,2,,,,,,,2,,
102,102105,10210510,1021051004,307,2,,,,,,,2,,
102,102105,10210510,1021051004,308,2,,,,,,,2,,
102,102105,10210510,1021051004,309,1,,2,"2009",2,0,,2,,
102,102105,10210510,1021051004,310,1,,1,"2013",2,0,,2,,
102,102105,10210510,1021051004,311,2,,,,,,,2,,
102,102105,10210510,1021051004,312,2,,,,,,,2,,
102,102105,10210510,1021051004,313,2,,,,,,,2,,
102,102105,10210513,1021051305,301,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,302,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,303,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,304,1,,30,"2000",1,15,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,305,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,306,1,,10,"2011",2,30,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,307,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,308,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,309,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,310,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,311,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,312,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210513,1021051305,313,2,,,,,,,2,3,"The community members access their treatment from Naguru Hospital"
