"HHID","PID","T6FQ02a","T6FQ02b","wgt_X"
"H01813-04-01","P01813-010",1,14,1874.79821777344
"H01813-04-01","P01813-011",2,,1874.79821777344
"H01813-04-01","P01813-014",2,,1874.79821777344
"H01813-04-01","P01813-008",2,,1874.79821777344
"H01813-04-01","P01813-009",2,,1874.79821777344
"H01813-04-01","P01813-004",2,,1874.79821777344
"H01813-04-01","P01813-016",2,,1874.79821777344
"H01813-04-01","P01813-003",2,,1874.79821777344
"H01813-04-01","P01813-001",2,,1874.79821777344
"H01813-04-01","P01813-006",2,,1874.79821777344
"H01813-04-01","P01813-005",2,,1874.79821777344
"H01813-04-01","P01813-015",2,,1874.79821777344
"H01813-04-01","P01813-013",2,,1874.79821777344
"H02108-04-01","P02108-005",2,,1874.79821777344
"H02108-04-01","P02108-003",2,,1874.79821777344
"H02108-04-01","P02108-002",2,,1874.79821777344
"H02108-04-01","P02108-001",2,,1874.79821777344
"H02108-04-01","P02108-004",2,,1874.79821777344
"H02110-04-01","P02110-003",1,1,1874.79821777344
"H02110-04-01","P02110-002",1,2,1874.79821777344
"H02110-04-01","P02110-004",1,1,1874.79821777344
"H02110-04-01","P02110-001",1,2,1874.79821777344
"H02110-04-01","P02110-007",2,,1874.79821777344
"H02111-04-01","P02111-007",2,,1874.79821777344
"H02111-04-01","P02111-009",2,,1874.79821777344
"H02111-04-01","P02111-006",2,,1874.79821777344
"H02111-04-01","P02111-003",1,14,1874.79821777344
"H02111-04-01","P02111-001",1,7,1874.79821777344
"H02111-04-01","P02111-005",2,,1874.79821777344
"H02111-04-01","P02111-012",1,7,1874.79821777344
"H02111-04-01","P02111-002",2,,1874.79821777344
"H02111-04-01","P02111-008",2,,1874.79821777344
"H02111-04-01","P02111-011",1,7,1874.79821777344
"H02111-04-01","P02111-004",2,,1874.79821777344
"H02113-04-01","P02113-001",2,,1874.79821777344
"H02113-04-01","P02113-006",1,6,1874.79821777344
"H02113-04-01","P02113-010",2,,1874.79821777344
"H02113-04-01","P02113-011",2,,1874.79821777344
"H02113-04-01","P02113-014",2,,1874.79821777344
"H02113-04-01","P02113-007",1,14,1874.79821777344
"H02113-04-01","P02113-008",1,14,1874.79821777344
"H02113-04-01","P02113-005",2,,1874.79821777344
"H02203-04-01","P02203-003",2,,1874.79821777344
"H02203-04-01","P02203-002",1,4,1874.79821777344
"H02203-04-01","P02203-005",2,,1874.79821777344
"H02203-04-01","P02203-004",2,,1874.79821777344
"H02203-04-01","P02203-006",2,,1874.79821777344
"H02203-04-01","P02203-007",2,,1874.79821777344
"H02205-04-01","P02205-007",1,21,1874.79821777344
"H02205-04-01","P02205-003",1,7,1874.79821777344
"H02205-04-01","P02205-002",1,7,1874.79821777344
"H02205-04-01","P02205-011",2,,1874.79821777344
"H02205-04-01","P02205-006",1,21,1874.79821777344
"H02205-04-01","P02205-005",1,21,1874.79821777344
"H02205-04-01","P02205-012",2,,1874.79821777344
"H02205-04-01","P02205-001",1,7,1874.79821777344
"H02205-04-01","P02205-004",2,,1874.79821777344
"H02206-04-01","P02206-006",2,,1874.79821777344
"H02206-04-01","P02206-005",2,,1874.79821777344
"H02206-04-01","P02206-003",2,,1874.79821777344
"H02206-04-01","P02206-001",2,,1874.79821777344
"H02206-04-01","P02206-002",2,,1874.79821777344
"H02207-04-01","P02207-006",2,,1874.79821777344
"H02207-04-01","P02207-002",2,,1874.79821777344
"H02207-04-01","P02207-004",2,,1874.79821777344
"H02207-04-01","P02207-003",2,,1874.79821777344
"H02207-04-01","P02207-005",1,5,1874.79821777344
"H02207-04-01","P02207-001",1,5,1874.79821777344
"H02304-04-01","P02304-002",2,,1874.79821777344
