"HHID","HHID_old","rotate","result_code","h1aq1a","h1aq3a","h1aq3b","h1aq4a","h1aq4b","region","regurb","sregion","urban","ea","wgt_X","wgt","year","month","day","DynID"
"H04508-04-04",,1,1,102,102104,"Makindye Division",10210420,"Salaama",1,11,1,1,45,698.11669921875,,2014,10,"09",4508
"H04509-04-01",1051000309,1,1,122,122105,"Lukaya Town Council",12210501,"Bajja Ward",1,10,2,0,45,2792.466796875,8151.04345703125,2014,6,"24",4509
"H04602-04-01",1053000402,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,2792.466796875,,2014,4,"10",4602
"H04603-04-01",1053000403,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,2792.466796875,,2014,4,"11",4603
"H04604-04-01",1053000404,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,2792.466796875,,2013,10,"24",4604
"H04606-04-01",1053000406,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,1396.2333984375,,2014,4,"10",4606
"H04606-04-02",105300040602,1,1,118,118103,"Butenga",11810302,"Kabigi",1,10,2,0,46,1396.2333984375,,2014,4,"11",4606
"H04607-04-01",1053000407,1,1,118,118105,"Kitanda",11810503,"Makukuulu",1,10,2,0,46,2792.466796875,,2013,10,"24",4607
"H04608-04-01",1053000408,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,2792.466796875,,2013,10,"24",4608
"H04609-04-01",1053000409,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,2792.466796875,,2013,10,"25",4609
"H04610-04-01",1053000410,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,930.822265625,,2013,10,"24",4610
"H04610-04-02",,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,930.822265625,,2013,10,"24",4610
"H04610-04-03",,1,1,118,118101,"Bigasa",11810104,"Mbirizi",1,10,2,0,46,930.822265625,,2013,10,"24",4610
